Question,Answer
캐나다의 수도는?,오타와
"귀신처럼 나타났다가 귀신처럼 사라진다,  ‘자유자재로 나타나고 사라진다’는 뜻의 사자성어는?",신출귀몰
2021년도의 최저시급은 얼마인가?,8720원
대한민국의 광역시는 총 몇개인가?,"6개 / 인천,대전,대구,부산,울산,광주"
‘오저치고’의 뜻은?,오늘 저녁 치킨 고? ​ ​
‘누물보’의 뜻은?,누가 물어본 사람?
수컷사자와 암컷호랑이를 합친  이 동물의 이름은?,라이거
올림픽의 오륜기 색을 모두 말하시오 (또는 오륜기의 색이 아닌것은?,"빨,노,초,파,검 / (주황,보라등 섞기)"
이것은 체내에 들어가서 건강에 좋은 효과를 주는 살아있는 균으로 유익한 유산균 증식 및 배변활동을 원할하게 해주는 이것은 무엇일까?,프로바이오틱스
스마트폰을 기기에 접촉해 카드결제 및  가까운 거리에서 데이터를 주고받는  이 통신기술은 무엇인가?,NFC
사랑의 불시착에 많이 나왔던 ‘후라이까지 말라’ 는 무슨 뜻일까요?,거짓말 하지마
"파리는 영어로 fly, 나비는 영어로 butterfly 그럼 잠자리는 영어로 뭘까요?",드래곤 플라이(Dragon fly)
품질이 바람직한 기준보다 떨어지는 식품으로 초등학교 문방구에 자주 파는 이것은?,불량식품
"옷을 세는 단위 한 ‘벌’, 두 ‘벌’ 그럼 신발을 세는 단위는?","켤레(한 ‘켤레’, 두 ‘켤레’)"
‘고매’는 무슨뜻일까요?,고구마
우체국 로고에 있는 새는 무엇일까요?,제비
"태극기에는 태극문양과 4괘가 있는데 이 중 하늘,봄,동 이라는 의미를 갖고있는 것은?",건 (건곤감리의 건)
남의 잔치에 ㅁ놔라 ㅁ놔라 한다. ㅁ에 들어갈 말은?,"배, 감"
이상한 사람이 가는 곳은?,치과 (이 상한 사람) ​ ​
왕이 궁에 들어가기 싫을 때 하는말은?,궁시렁 궁시렁
5월 5일 어린이날을 만든 인물은?,방정환
세계 보건 기구 WHO의 엠블럼에는 어떤 동물이 그려져있을까요?,뱀
"“삼무도”라도 불리는 울릉도엔 도둑, 공해, ㅁ가 없는데 “ㅁ”에 해당하는 건 무엇일까요?",뱀
우리 몸에 꼭 필요한 3대 영양소는?,"탄수화물, 지방, 단백질"
매월 14일은 ~데이 로 정해져있는데 4월 14일은 색깔이름이 들어간 데이로 어떤 음식을 먹는 날일까요?,짜장면
